Time,Latitude,Longitude
499.0,36.07769389,-86.99721789
500.0,36.07771246,-86.99686321
501.0,36.07772632,-86.99650612
502.0,36.07774171,-86.99615109
503.0,36.07775773,-86.99579617
504.0,36.07777171,-86.99543681
505.0,36.07778579,-86.99507787
506.0,36.07780457,-86.99471898
507.0,36.07782334,-86.99436222
508.0,36.07783551,-86.993999
509.0,36.07784741,-86.99363293
510.0,36.07785999,-86.99326312
511.0,36.07787213,-86.99288663
512.0,36.07789252,-86.99250856
513.0,36.0779111,-86.99213926
514.0,36.0779229,-86.99176363
515.0,36.07793165,-86.99138643
516.0,36.07792868,-86.99100749
517.0,36.07792067,-86.99062839
518.0,36.07790905,-86.99025228
519.0,36.07788648,-86.98987811
520.0,36.07785844,-86.989507
521.0,36.07783142,-86.98914176
522.0,36.07778925,-86.98877878
523.0,36.07774591,-86.98841361
524.0,36.07769802,-86.98805132
525.0,36.07764131,-86.98769868
526.0,36.07758092,-86.98735777
527.0,36.07750888,-86.98701497
528.0,36.07743054,-86.98668031
529.0,36.07735242,-86.9863452
530.0,36.07726099,-86.98601892
531.0,36.07716315,-86.98569334
532.0,36.07706349,-86.98536748
533.0,36.07695976,-86.98503732
534.0,36.07685538,-86.98472422
535.0,36.0767408,-86.98440405
536.0,36.07664585,-86.98409687
537.0,36.07652882,-86.98377946
538.0,36.07641166,-86.98345333
539.0,36.07629997,-86.98312986
540.0,36.07619102,-86.98280716
541.0,36.07607724,-86.98247389
542.0,36.07596851,-86.98214954
543.0,36.07584931,-86.98181393
544.0,36.0757242,-86.98148017
545.0,36.07560463,-86.98114479
546.0,36.07548314,-86.98081186
547.0,36.07536279,-86.98047633
548.0,36.07524215,-86.98013721
549.0,36.0751218,-86.97979906
550.0,36.07501089,-86.97946628
551.0,36.07489425,-86.9791312
552.0,36.07476332,-86.97876412
553.0,36.07463093,-86.97840387
554.0,36.07450073,-86.97804659
555.0,36.07439715,-86.97770727
556.0,36.07430153,-86.97735577
557.0,36.07420999,-86.97703084
558.0,36.07412117,-86.97666771
559.0,36.07404463,-86.97630242
560.0,36.07398412,-86.97594471
561.0,36.0739307,-86.97556164
562.0,36.07389888,-86.97520838
563.0,36.07388171,-86.97485323
564.0,36.07387006,-86.97449408
565.0,36.07386784,-86.97412481
566.0,36.07387673,-86.97377637
567.0,36.07389152,-86.97342896
568.0,36.07391325,-86.97309414
569.0,36.07399431,-86.97271697
570.0,36.07403429,-86.97238679
571.0,36.07408666,-86.97203652
572.0,36.07415307,-86.97169525
573.0,36.07423122,-86.97136777
574.0,36.07432138,-86.97103448
575.0,36.07442618,-86.97070903
576.0,36.07450798,-86.97039061
577.0,36.07462587,-86.97006565
578.0,36.07474769,-86.96975003
579.0,36.07487789,-86.96944431
580.0,36.07501881,-86.96913827
581.0,36.07516534,-86.9688327
582.0,36.07531152,-86.96852534
583.0,36.07546388,-86.96820584
584.0,36.07561546,-86.96788844
585.0,36.0757744,-86.96756086
586.0,36.07593204,-86.96723321
587.0,36.0760961,-86.96689755
588.0,36.07626461,-86.96656337
589.0,36.07643495,-86.96622677
590.0,36.07660448,-86.96588782
591.0,36.07677973,-86.9655319
592.0,36.07695754,-86.96521142
593.0,36.07712513,-86.96487542
594.0,36.07729188,-86.96454108
595.0,36.07745784,-86.96420714
596.0,36.07761965,-86.96388892
597.0,36.07777544,-86.96356426
598.0,36.0779301,-86.96324063
599.0,36.07808261,-86.96291157
600.0,36.0782396,-86.96257614
601.0,36.07839296,-86.96226175
602.0,36.07854959,-86.96193448
603.0,36.07870708,-86.9616156
604.0,36.07886173,-86.96128912
605.0,36.07902,-86.96095797
606.0,36.07917516,-86.96062918
607.0,36.07933243,-86.96030427
608.0,36.07948964,-86.95999422
609.0,36.07965701,-86.95966715
610.0,36.07981409,-86.95934245
611.0,36.07996554,-86.95902011
612.0,36.08012462,-86.95870081
613.0,36.08028717,-86.95837808
614.0,36.08043621,-86.95805801
615.0,36.08059151,-86.95773367
616.0,36.08074225,-86.95740801
617.0,36.08088781,-86.95707388
618.0,36.08104379,-86.95674717
619.0,36.08119705,-86.9564179
620.0,36.08135692,-86.95608591
621.0,36.0815153,-86.95574898
622.0,36.08166931,-86.95542451
623.0,36.08182244,-86.95508915
624.0,36.08198054,-86.95475768
625.0,36.08214163,-86.95442517
626.0,36.0823006,-86.95409446
627.0,36.08245583,-86.95376215
628.0,36.08261173,-86.95343109
629.0,36.08277404,-86.95310404
630.0,36.08292433,-86.95276681
631.0,36.08308059,-86.95243203
632.0,36.08323825,-86.95209729
633.0,36.08339988,-86.95177378
634.0,36.08355975,-86.95145442
635.0,36.08371077,-86.95112489
636.0,36.08386323,-86.95080054
637.0,36.08401712,-86.95048371
638.0,36.08417728,-86.95016403
639.0,36.08434624,-86.94983343
640.0,36.08449318,-86.9495126
641.0,36.08465,-86.94918574
642.0,36.08481549,-86.9488795
643.0,36.08497357,-86.9485512
644.0,36.08512336,-86.94822988
645.0,36.08528481,-86.94790787
646.0,36.08543817,-86.94757581
647.0,36.08559372,-86.94724509
648.0,36.08574708,-86.94692579
649.0,36.08590506,-86.94659176
650.0,36.08605861,-86.94626611
651.0,36.08621246,-86.94594898
652.0,36.08635997,-86.94560468
653.0,36.08651759,-86.94527787
654.0,36.08667582,-86.94495337
655.0,36.08683727,-86.94462937
